company_name,bidding_day,bidding_date,total_multiple,qib_multiple,nii_multiple,retail_multiple,source
R N F I SERVICES LTD.,2,"July 23, 2024",23.98,0.76,26.43,36.2,user_scraped
R N F I SERVICES LTD.,3,"July 24, 2024",221.49,140.66,513.31,142.62,user_scraped
RAJSHREE POLYPACK LTD.,1,"September 10, 2018",0.26,0.0,1.48,0.11,user_scraped
RAJSHREE POLYPACK LTD.,2,"September 11, 2018",1.01,0.72,1.92,0.78,user_scraped
RAJSHREE POLYPACK LTD.,3,"September 12, 2018",5.36,3.61,13.43,2.92,user_scraped
RAPPID VALVES (INDIA) LTD.,1,"September 23, 2024",2.71,0.0,2.11,4.51,user_scraped
RAPPID VALVES (INDIA) LTD.,2,"September 24, 2024",10.84,1.04,11.94,15.96,user_scraped
RAPPID VALVES (INDIA) LTD.,3,"September 25, 2024",176.06,55.97,491.49,109.09,user_scraped
REMUS PHARMACEUTICALS LTD.,1,"May 17, 2023",1.43,0.0,2.85,2.85,user_scraped
REMUS PHARMACEUTICALS LTD.,2,"May 18, 2023",6.41,1.48,12.25,10.93,user_scraped
REMUS PHARMACEUTICALS LTD.,3,"May 19, 2023",57.21,10.75,229.31,49.81,user_scraped
ROCKINGDEALS CIRCULAR ECONOMY LTD.,1,"November 22, 2023",16.35,0.02,14.19,26.42,user_scraped
ROCKINGDEALS CIRCULAR ECONOMY LTD.,2,"November 23, 2023",54.46,8.49,50.42,81.94,user_scraped
ROCKINGDEALS CIRCULAR ECONOMY LTD.,3,"November 24, 2023",213.64,47.38,458.6,201.42,user_scraped
S A R TELEVENTURE LTD.,1,"November 1, 2023",8.4,0.03,6.02,14.17,user_scraped
S A R TELEVENTURE LTD.,2,"November 2, 2023",34.95,7.44,33.02,51.34,user_scraped
S A R TELEVENTURE LTD.,3,"November 3, 2023",288.09,77.0,715.77,222.1,user_scraped
SAHANA SYSTEM LTD.,1,"May 31, 2023",1.11,0.16,1.54,0.89,user_scraped
SAHANA SYSTEM LTD.,2,"Jun 1, 2023",2.79,1.16,2.79,3.14,user_scraped
SAHANA SYSTEM LTD.,3,"Jun 2, 2023",9.99,9.7,7.07,12.97,user_scraped
SHERA ENERGY LTD.,1,"February 7, 2023",0.53,0.0,1.68,3.34,user_scraped
SHERA ENERGY LTD.,2,"February 8, 2023",1.17,0.01,13.25,13.95,user_scraped
SHERA ENERGY LTD.,3,"February 9, 2023",1.46,8.73,190.12,51.3,user_scraped
SHUBHSHREE BIOFUELS ENERGY LTD.,1,"September 9, 2024",2.99,0.0,1.39,5.19,user_scraped
SHUBHSHREE BIOFUELS ENERGY LTD.,2,"September 10, 2024",12.47,4.47,6.36,19.14,user_scraped
SHUBHSHREE BIOFUELS ENERGY LTD.,3,"September 11, 2024",132.89,31.32,245.74,135.65,user_scraped
