chittorgarh_id,company_name,listing_date,issue_price,listing_close_price,listing_gain_pct,firm_age,diff_issue_list_dates,log_traded_qty,total_subs_times,retail_subs_times,log_retail_subs,log_day1_subs,log_subs_accel,log_closing_surge,eps,pe_ratio_clipped,debt_to_asset_ratio,is_hot_period,current_gain_loss_pct,event,time,cox_hazard_score,rsf_risk_score,risk_quintile
2351,Infinity Infoway Ltd.,08-Oct-2025,155.0,309.2,99.48,12.0,5,15.330692954240774,277.24,303.35,5.718178354939933,3.839506074588969,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,250.32,0,249.0,0.41140519481571936,23.42521177011988,Q1 (Predicted Safest)
2245,B.A.G.Convergence Ltd.,08-Oct-2025,87.0,106.05,21.9,12.0,5,9.429556219952412,1.38,0.83,0.6043159668533294,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,21.61,0,249.0,2.9250388122670237,108.64711583745782,Q3
2270,Sodhani Capital Ltd.,07-Oct-2025,51.0,84.0,64.71,12.0,6,11.194797930643736,4.79,4.85,1.766441661243765,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,39.22,0,249.0,1.5934141441620049,80.56611307009584,Q3
2389,Suba Hotels Ltd.,07-Oct-2025,111.0,161.9,45.86,12.0,6,11.820785094423263,15.33,9.07,2.309560706730471,0.8588734610042044,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-17.12,1,249.0,1.4406347824508732,69.4367359782675,Q2
2313,Vijaypd Ceutical Ltd.,07-Oct-2025,35.0,35.9,2.57,12.0,6,9.499346567390095,1.37,0.89,0.636576829071551,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,80.0,0,249.0,3.1113746690749533,150.14516288242277,Q5 (Predicted Highest Risk)
2196,KVS Castings Ltd.,06-Oct-2025,56.0,69.61,24.3,12.0,6,10.571342565808699,4.09,2.6,1.2809338454620642,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,52.68,0,250.0,2.208667851922188,95.30109586218836,Q3
2291,Ameenji Rubber Ltd.,06-Oct-2025,100.0,106.05,6.05,12.0,6,9.692828247710418,2.21,1.08,0.7323678937132266,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,141.25,0,250.0,2.939188837389496,137.12795955057953,Q5 (Predicted Highest Risk)
2341,Manas Polymers & Energies Ltd.,06-Oct-2025,81.0,146.2,80.49,12.0,6,9.210440366976517,1.24,0.19,0.17395330712343804,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-72.53,1,250.0,2.559529656363361,102.70062032735646,Q3
2272,M P K Steels (I) Ltd.,06-Oct-2025,79.0,83.5,5.7,12.0,6,9.210440366976517,1.54,0.58,0.4574248470388754,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,16.46,0,250.0,3.2957450260265326,138.7757059881697,Q5 (Predicted Highest Risk)
2072,Chatterbox Technologies Ltd.,03-Oct-2025,115.0,129.0,12.17,12.0,4,13.462757911748911,52.0,46.85,3.8680711178989635,2.082873146981532,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-69.55,1,252.0,1.0170803418083991,88.1899943292749,Q3
2473,Earkart Ltd.,03-Oct-2025,135.0,142.25,5.37,12.0,4,9.210440366976517,1.28,0.35,0.3001045924503381,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,12.56,0,252.0,3.3790436800255788,136.03670571760694,Q5 (Predicted Highest Risk)
2221,Praruh Technologies Ltd.,01-Oct-2025,63.0,64.25,1.98,12.0,5,9.543306469268108,1.21,0.93,0.6575200029167941,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,143.89,0,254.0,3.08767125911949,150.54412767541646,Q5 (Predicted Highest Risk)
2439,Systematic Industries Ltd.,01-Oct-2025,195.0,196.45,0.74,12.0,5,10.827766295132466,6.2,3.36,1.4724720573609429,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,37.23,0,254.0,2.2667901200224825,147.36583890169402,Q5 (Predicted Highest Risk)
2507,JD Cables Ltd.,25-Sep-2025,152.0,157.9,3.88,12.0,3,14.287232085776933,127.78,106.85,4.680741372835166,2.8348296841333362,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,29.31,0,258.0,0.8214122856344375,110.85606227197516,Q4
2280,TechD Cybersecurity Ltd.,22-Sep-2025,193.0,385.0,99.48,12.0,5,16.203438227942137,718.3,726.06,6.589009005077134,4.69965275068622,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,201.99,0,260.0,0.3164906311957228,22.56181922244424,Q1 (Predicted Safest)
2447,L.T.Elevator Ltd.,19-Sep-2025,78.0,142.9,83.21,12.0,3,14.684080973178009,182.95,158.9,5.074548619839908,3.212253948559314,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,337.18,0,262.0,0.5324776725377692,33.43896423021424,Q1 (Predicted Safest)
2508,Airfloa Rail Technology Ltd.,18-Sep-2025,140.0,279.3,99.5,12.0,3,15.415837289360494,301.52,330.31,5.8030544929734695,3.9228937046915497,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,317.29,0,263.0,0.40073344105745146,23.613590055777575,Q1 (Predicted Safest)
2286,Jay Ambe Supermarkets Ltd.,17-Sep-2025,78.0,82.95,6.35,12.0,5,13.883964217435885,64.13,71.39,4.28206816830505,2.46031507375993,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,84.49,0,264.0,0.9182549073173779,98.44585977311684,Q3
2100,Taurian MPS Ltd.,16-Sep-2025,171.0,220.5,28.95,12.0,5,11.541522639947903,11.69,6.86,2.061786606441115,0.7075430608436777,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,202.49,0,264.0,1.6669208682148775,75.54480055258207,Q2
2359,Vashishtha Luxury Fashion Ltd.,15-Sep-2025,111.0,121.75,9.68,12.0,5,10.385944565501662,2.18,2.16,1.1505720275988207,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-44.95,1,265.0,2.4530450423939505,120.60243115536362,Q4
2165,Sharvaya Metals Ltd.,12-Sep-2025,196.0,208.05,6.15,12.0,3,11.457951721822017,4.83,6.31,1.9892432737616872,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-29.26,1,267.0,1.8667476838241435,120.82639968261874,Q4
2337,Austere Systems Ltd.,12-Sep-2025,55.0,79.32,44.22,12.0,3,16.610481359713845,1076.99,1090.81,6.995592148492376,5.103648899397044,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-32.73,1,267.0,0.34841106915083647,25.41757499445001,Q1 (Predicted Safest)
2400,Vigor Plast India Ltd.,12-Sep-2025,81.0,85.7,5.8,12.0,3,10.528114963964265,3.88,2.49,1.2499017362143359,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,22.28,0,267.0,2.4011003982774892,126.16532035297541,Q4
2252,Optivalue Tek Consulting Ltd.,10-Sep-2025,84.0,102.6,22.14,12.0,6,13.520603783422807,64.45,49.64,3.9247417778359206,2.133692956511752,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,129.88,0,269.0,0.9615667945865674,68.74344825869098,Q2
2284,Goel Construction Co.Ltd.,09-Sep-2025,263.0,317.6,20.76,12.0,5,14.100050950503807,124.34,88.61,4.495466920896128,2.6596649549424147,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,46.39,0,269.0,0.813006834415659,73.35445797744875,Q2
2217,Sugs Lloyd Ltd.,05-Sep-2025,123.0,125.85,2.32,12.0,3,10.367253014814716,3.23,2.12,1.1378330018213911,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,110.81,0,272.0,2.5360074244889415,142.69018850263973,Q5 (Predicted Highest Risk)
2131,Oval Projects Engineering Ltd.,04-Sep-2025,85.0,85.05,0.06,12.0,3,9.429556219952412,1.61,0.83,0.6043159668533294,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-44.71,1,273.0,3.1876376929438734,158.07174673170726,Q5 (Predicted Highest Risk)
2355,Sattva Engineering Construction Ltd.,03-Sep-2025,75.0,99.85,33.13,12.0,5,14.768461419802593,198.17,172.89,5.158422915393977,3.2933708649586055,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-18.47,1,274.0,0.6336127124488019,52.912217923688516,Q2
2282,Current Infraprojects Ltd.,03-Sep-2025,80.0,152.75,90.94,12.0,5,15.598481689297108,379.44,396.5,5.985194934094387,4.102230056496091,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,1.62,0,274.0,0.39267916254518315,23.159735579643687,Q1 (Predicted Safest)
2395,Classic Electrodes (India) Ltd.,01-Sep-2025,87.0,95.0,9.2,12.0,6,14.680171517795989,179.88,158.28,5.070663659755941,3.2085022044406397,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-41.38,1,275.0,0.7155989416219789,76.59476835358268,Q2
2243,Anondita Medicare Ltd.,01-Sep-2025,145.0,289.25,99.48,12.0,6,15.27249658014401,300.89,286.2,5.660178837174069,3.782597457987688,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,652.1,0,275.0,0.4187900246610361,23.86963141297702,Q1 (Predicted Safest)
2122,ARC Insulation & Insulators Ltd.,29-Aug-2025,125.0,137.75,10.2,12.0,4,12.464780232494121,18.71,17.27,2.9052603703899154,1.2782914685682352,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-72.4,1,277.0,1.3765259271348103,112.31342387081516,Q4
2178,Medistep Healthcare Ltd.,18-Aug-2025,43.0,50.35,17.09,12.0,6,15.749442250910066,375.2,461.11,6.135802957979661,4.250870989154593,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-50.0,1,285.0,0.5030930930910955,57.751715687294734,Q2
2160,Connplex Cinemas Ltd.,14-Aug-2025,177.0,186.9,5.59,12.0,3,12.824633662698112,35.67,24.75,3.248434627109745,1.5502185527741292,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,41.81,0,288.0,1.2609183211667454,113.7584062842351,Q4
2344,Sawaliya Foods Products Ltd.,14-Aug-2025,120.0,239.4,99.5,12.0,3,11.80410890048989,13.32,8.92,2.2945529212967815,0.8492958630498766,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,34.87,0,288.0,1.1690696461723438,69.09279887370539,Q2
2055,Bhadora Industries Ltd.,11-Aug-2025,103.0,105.95,2.86,12.0,5,9.595670797663967,0.96,0.98,0.6830968447064438,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,19.32,0,290.0,3.0413703458164463,146.85253391416882,Q5 (Predicted Highest Risk)
2255,Parth Electricals & Engineering Ltd.,11-Aug-2025,170.0,182.7,7.47,12.0,5,12.625443946112906,23.77,20.28,3.0577676644734435,1.3967396189814292,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,207.62,0,290.0,1.3279344694708823,117.91449665220043,Q4
2311,Aaradhya Disposal Industries Ltd.,11-Aug-2025,116.0,116.55,0.47,12.0,5,9.994287576862567,1.41,1.46,0.9001613499442714,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,21.55,0,290.0,2.800731667272037,149.97567168696045,Q5 (Predicted Highest Risk)
2325,BLT Logistics Ltd.,11-Aug-2025,75.0,95.49,27.32,12.0,5,16.072889162744634,560.69,637.2,6.4586517138441435,4.570371680445396,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-60.0,1,290.0,0.4381995098519814,47.10149978493728,Q2
2418,Flysbs Aviation Ltd.,08-Aug-2025,225.0,448.85,99.49,12.0,3,15.272007292162415,318.68,286.06,5.659691253143234,3.7821193104586843,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,197.96,0,292.0,0.4184405248621207,23.31775672244424,Q1 (Predicted Safest)
2136,Cash Ur Drive Marketing Ltd.,07-Aug-2025,130.0,157.45,21.12,12.0,3,13.74953206723461,81.94,62.41,4.14962157771194,2.338097013995405,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-16.92,1,293.0,0.9009214765731048,71.04231997957703,Q2
2162,B.D.Industries (Pune) Ltd.,06-Aug-2025,108.0,108.15,0.14,12.0,5,9.893487720457795,1.81,1.32,0.8415671856782186,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,0.93,0,294.0,2.8719782947339834,155.64927896509897,Q5 (Predicted Highest Risk)
2302,Mehul Colours Ltd.,06-Aug-2025,72.0,86.03,19.49,12.0,5,10.885584751364705,7.98,3.56,1.5173226235262949,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-25.0,1,294.0,2.0722268978576417,96.0040648405476,Q3
2361,Takyon Networks Ltd.,06-Aug-2025,54.0,55.72,3.19,12.0,5,12.611040963591929,21.77,19.99,3.0440461338325417,1.3859192907898075,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-67.46,1,294.0,1.3563860112787332,137.45979378260628,Q5 (Predicted Highest Risk)
2273,Umiya Mobile Ltd.,04-Aug-2025,66.0,68.78,4.21,12.0,5,10.575181243876902,2.53,2.61,1.2837077723447896,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-11.68,1,295.0,2.3886925847213294,144.0745006800418,Q5 (Predicted Highest Risk)
2040,Sellowrap Industries Ltd.,01-Aug-2025,83.0,94.5,13.86,12.0,3,13.846137721343602,65.09,68.74,4.2447740412475055,2.425775703549244,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-21.69,1,297.0,0.9008750121209076,77.41000092404106,Q3
2145,Shree Refrigerations Ltd.,01-Aug-2025,125.0,175.4,40.32,12.0,3,14.889061757829657,187.55,195.05,5.27836972873834,3.4097440876306218,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,216.2,0,297.0,0.5935485206448441,32.03721681096681,Q1 (Predicted Safest)
2153,Patel Chem Specialities Ltd.,01-Aug-2025,84.0,104.5,24.4,12.0,3,14.769270855242471,167.32,173.03,5.159227698146083,3.294150259297347,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,20.0,0,297.0,0.6553599825459557,59.844386214275914,Q2
2206,TSC India Ltd.,30-Jul-2025,70.0,71.4,2.0,12.0,5,13.810900950027344,73.21,66.36,4.210051369934071,2.3937046863615294,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-30.0,1,299.0,0.9548391959098222,123.45257043346916,Q4
